name,status
Crystalsol,closed
JBI Fish & Wings,operating
COINPLUS,operating
Imagine Communications,operating
DNA13,operating
Quickfire Games,closed
Sente Inc.,operating
Triosyn,closed
Urgent.ly,operating
Map Decisions,operating
Omega Discovery Solutions,operating
Axiata,operating
Tripsuit,operating
Stratics Networks Inc,operating
LTG Exam Prep Platform,operating
Littlstar,operating
Aarki,operating
Awesome Maps,operating
Stroma Medical,operating
Solasta,operating
Storeness,operating
Bizpora,closed
LMC Diabetes & Endocrinology,operating
Montage Healthcare Solutions,operating
Farrago Comics,operating
Syrinix,operating
Talkway Communications,operating
Mollejuo,operating
Cymfony,operating
MIT Energy Initiative,closed
Lucent Health Solutions,operating
thesweetlink,operating
Boston Technologies,operating
Wavii,operating
"Dots ,LLC",operating
Xetawave,operating
Dental Corp,operating
Expway,operating
Avenger Networks,operating
Ginio.com,operating
Skyrobotic,operating
Sijibang.com,operating
Calolo,operating
Taggify,operating
Forterra Systems,operating
Get Satisfaction,operating
Mtone Wireless,operating
EZChip,operating
BioBots,operating
Adamant Energy,operating
Bunch,operating
Enevate,operating
GroundMetrics,operating
Gruppo Argenta,operating
GammaSite,operating
MashON,operating
Native Networks,operating
Lucky Oyster,operating
The Backscratchers,closed
Eurekite,closed
Pundit Arena,operating
DashLuxe,operating
Festicket,operating
EAP Technology Systems,closed
siXis,closed
GoldSpot Media,operating
E la Carte,operating
Superior Global Solutions,operating
Nowsta,closed
Voalte,operating
icomasoft,operating
BTCjam,closed
Pangaea Resources,operating
BlogCN,operating
Diffinity Genomics,operating
KidStart,operating
DUFL,operating
IDRI (Infectious Disease Research Institute),operating
Splurgy,closed
beenz.com,operating
REVA Medical,operating
Indie Broadcast Network,closed
Accurence,operating
Minka,operating
Com2uS Corp.,operating
DYNAGENT SOFTWARE SL,operating
AWP Energy,operating
Xactly Corp,operating
FreshMonk,operating
Bandura,operating
alooma,closed
Xterprise Solutions,operating
Velomedix,operating
Hecare,operating
ParinGenix,operating
Chamelic,operating
Slipstream,operating
Peak 10,operating
Theatro,operating
BurstPoint Networks,operating
StepOne,closed
Metaome,operating
Astrobotic Technology,operating
FANCY CELLAR - 品庄酒,operating
Monitoring Division,operating
DataMotion,operating
Gumhouse,closed
Nookster,operating
Magzter,operating
Capital Esquire,operating
Mantis Deposition,operating
Immy,operating
Analyze,operating
Parodys Entertainment,operating
Charles River Laboratories International,operating
SynapticMash,operating
50 Partners,operating
GoAlbert,operating
Imitix,operating
TOBESOFT,operating
SoSocio,operating
Chicken Out Rotisserie,operating
Acacia Research,operating
OSG Records Management,operating
World Class Driving,closed
PocketMarket,operating
Connectbeam,operating
NA-KD.com - The next generation fashion marketplace,closed
My Study Rewards,closed
Cerevast Therapeutics,operating
Shoplins,operating
kibow,operating
Amatra SmartSource,closed
Apokalyyis,closed
HeartWare International,operating
Jobaline,operating
Searchwords Pty Ltd,closed
Scholar Rock,operating
Beyond the Box,operating
Silentium,operating
SYLOB,closed
Accedian Networks,operating
Emerging Threats,operating
Pulse Aerospace,operating
Alta Rail Technology,operating
Habitissimo,operating
Yaoota.com,operating
CloudDesk,operating
Bringhub,closed
Nimbus Concepts,operating
TalentIQ,operating
Square Yards,closed
RecordSled,closed
SP3H,operating
Zjdg.cn,operating
Graftec Electronics,operating
SymbioCellTech,operating
Royal Treatment Fly Fishing,operating
Love Warrior Wellness Collective,operating
Naubo,operating
Scripted.com,closed
mParticle,operating
Manitex International,operating
Genetics Squared,operating
SafeView,operating
Spinal USA,operating
Fondeadora,operating
The Preferred Prepaid,operating
"Nanovis, Inc.",operating
Royal Klasse Autos,closed
Wipebook,operating
AMT,closed
Pinrose,operating
GranData,closed
CommunitySift,operating
Longxun Changtian Technology,operating
SageFire,operating
NowPublic,operating
Antavo,closed
CloudCrowd,operating
ioBridge,closed
CDx Life,operating
sentitO Networks,closed
Stage 32,closed
Shopwings,operating
BiggiFi,operating
Onstream Media,operating
BoostSuite,operating
Desafío Táctico,operating
HERCAMOSHOP,operating
Offset Options,operating
Sharelook,operating
utoopia,closed
VGTI Florida,operating
AdmitHub,operating
BiometryCloud,operating
Arisoko,operating
"Woodenshark, LLC",operating
gShift,operating
Sojern,operating
Food Reporter,operating
Inocucor Technologies,operating
BuyMyTronics.com,operating
Free For Kids,operating
Quantum Group,operating
Brandsclub,operating
Nanya Technology Corporation,operating
Psydex,closed
Cubeit,operating
Ahometo,operating
CollabNet,operating
Cebix,operating
Hampton Creek,operating
uma information technology,closed
Househappy,operating
Chexology,operating
Qwiqq,operating
Eventus Systems,operating
Baton Rouge Homes,operating
Startupeando,operating
Sandy Bottom Drink,closed
Smart Load Solutions,operating
AppTweak.com,operating
MineralRightsWorldwide.com,operating
Compufirst,operating
ZAPITANO,operating
mobilePeople,operating
TeskaLabs,operating
Plenummedia,closed
GearTranslations,operating
Sunamp,operating
Netccm,operating
Cyrano Sciences,operating
Nemo,operating
UltraWood Products Company,operating
Verve Rehab,operating
Cookunity,operating
Vobile,operating
Profitably,operating
Rubysophic,operating
FireLayers,operating
NanoSteel,operating
Ge.tt,operating
Olygose,operating
Wantr,operating
Polyera,operating
Xquva,closed
HIPVILLA,operating
ShareRoot,operating
Mobile Pulse,operating
SKY MobileMedia,operating
make.tv,operating
Crude Area,operating
whodoyou,operating
ETI International,operating
PacketZoom,operating
Beer52,operating
Embrace Innovations,operating
Ripple TV,operating
Credit Sesame,operating
Open CS,operating
Jumpshot,operating
Athlete IQ,operating
NanoBio,closed
Carro,operating
Bizongo,operating
KnowledgeVision,operating
Camaloon,operating
Eyetel Imaging,operating
Little Riot,operating
Axceler,operating
Serenify,operating
Tailored Republic,operating
Epylon,operating
DOZ,operating
Skai,operating
Zapproved,closed
"BLUERIDGE Analytics, Inc.",operating
FreeStride Therapeutics,operating
Orderbook,operating
Guesthouse Network,operating
Smooch Labs Inc.,closed
Telesta Therapeutics,operating
FOREVERVOGUE.COM,operating
Target Business Capital,closed
Verticly,operating
Angaza,operating
AgilOne,operating
Centice,operating
SHEEX,operating
USMD,operating
Taia Global,operating
Action Audio Apps,operating
Silver Fox Events,operating
Respirics,operating
Semantics3,closed
M Squared Lasers,operating
neoSurgical,closed
Dishable,operating
Everest,closed
